(Level 1),(Level 2),(Level 3),(Level 4),(Level 5),(Level 6),Unit Type,Definition,Literature Cited,CMECS Version,Component Code,Unit Code,IRI (NCEI base URL + Term ID),Unit ID,Unit Status,Type of Change,Implementation Guidance,Notes
Obsolete,Geologic Substrate,Unconsolidated Mineral Substrate,,,,CMECS Substrate Component: Substrate Class,"Geologic Substrates with less than 50% cover of Rock Substrate. This class uses Folk (1954) terminology to describe any mix of loose mineral substrate that occurs at any range of sizes—from Boulders to Clay. This hierarchy and the associated terms are shown in Figure 7.2. These classifications may be based on percent weight (e.g., for retrieved samples); percent cover (e.g., for plan-view images); or visual percent composition (for other approaches). Units with bracketed letters, e.g., [G], [mSG], correspond to the labeled polygons in Figure 7.2, using conventions from Folk (1954).","Folk, R.L., 1954. “The Distinction between Grain Size and Mineral Composition in Sedimentary-Rock Nomenclature.” The Journal of Geology 62: 344-359.",1.1.2,S,1.2,https://w3id.org/CMECS/CMECS_00000867,CMECS_00000867,Deprecated Unit,,,
Obsolete,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Slightly Gravelly,,CMECS Substrate Component: Substrate Group,"Geologic Substrate surface layer contains from a trace (0.01%) of Gravel to 5% Gravel (particles 2 millimeters to < 4,096 millimeters in diameter). For more specificity in this group and in the following four substrate subgroups, the median size of ""Gravelly"" may be substituted in, e.g., ""Slightly Granuley"", ""Slightly Pebbly Sand"", ""Slightly Cobbley Muddy Sand"", and ""Slightly Bouldery Mud"".",,1.1.2,S,1.2.2.1,https://w3id.org/CMECS/CMECS_00000760,CMECS_00000760,Deprecated Unit,,,
Obsolete,Biogenic Substrate,Algal Substrate,,,,CMECS Substrate Component: Substrate Class,"Biogenic Substrate that is primarily composed of calcareous algae in various states of decomposition, including both crustose and coralline types.",,1.1.2,S,2.1,https://w3id.org/CMECS/CMECS_00000010,CMECS_00000010,Deprecated Unit,,,
Obsolete,Biogenic Substrate,Algal Substrate,Rhodolith Substrate,,,CMECS Substrate Component: Substrate Subclass,"Biogenic Substrate that is primarily composed of crustose algae that form rounded calcareous nodules (rhodoliths), often associated with coral reefs.",,1.1.2,S,2.1.2,https://w3id.org/CMECS/CMECS_00000676,CMECS_00000676,Deprecated Unit,,,
Obsolete,Biogenic Substrate,Coral Substrate,,,,CMECS Substrate Component: Substrate Class,Non-living scleractinian coral reefs (or coral particles) constitute the dominant benthic substrate; this substrate may or may not be inhabited by live corals.,,1.1.2,S,2.2,https://w3id.org/CMECS/CMECS_00000203,CMECS_00000203,Deprecated Unit,,,
Obsolete,Biogenic Substrate,Organic Substrate,,,,CMECS Substrate Component: Substrate Class,"Surface layers of substrate are primarily composed of non-living organic material, including fine or coarse organic particles up to 4,096 millimeters in any dimension. Substrates dominated by roots of live vegetation may be classified after removing the root material, and/or they may be classified by specialized methods considering, for example, below-ground biomass. Live fauna, and live flora together with their living root masses, are covered in the BC.",,1.1.2,S,2.3,https://w3id.org/CMECS/CMECS_00000612,CMECS_00000612,Deprecated Unit,,,
Obsolete,Biogenic Substrate,Organic Substrate,Organic Debris,,,CMECS Substrate Component: Substrate Subclass,"Organic substrate is primarily composed of coarse organic material that is relatively intact, with a median particle size from 4 millimeters to < 4,096 millimeters (the size of Pebbles, Cobbles, and Boulders). Organic Debris that is larger than that (e.g., whale falls, tree falls) is covered in the Geoform Component.",,1.1.2,S,2.3.1,https://w3id.org/CMECS/CMECS_00000609,CMECS_00000609,Deprecated Unit,,,
Obsolete,Biogenic Substrate,Organic Substrate,Organic Debris,Woody Debris,,CMECS Substrate Component: Substrate Group,"Organic substrates that are primarily composed of small trees, branches, wood, or wood fragments that are broken into particles with a median particle size from 4 millimeters to 4,096 millimeters.",,1.1.2,S,2.3.1.2,https://w3id.org/CMECS/CMECS_00000914,CMECS_00000914,Deprecated Unit,,,
Obsolete,Biogenic Substrate,Ooze Substrate,Carbonate Ooze,Foraminiferan Ooze,<Globigerina> Ooze,CMECS Substrate Component: Substrate Subgroup,Oozes that are formed primarily from multi-chambered carbonate tests of the foraminiferan Genus Globigerina.,,1.1.2,S,2.4.1.2.1,https://w3id.org/CMECS/CMECS_00001066,CMECS_00001066,Deprecated Unit,,,
Obsolete,Biogenic Substrate,Shell Substrate,,,,CMECS Substrate Component: Substrate Class,Biogenic Substrate that is primarily composed of shells or shell particles. Most (but not all) shell-builders are mollusks.,,1.1.2,S,2.5,https://w3id.org/CMECS/CMECS_00000748,CMECS_00000748,Deprecated Unit,,,
