Component,Subcomponent,Setting/Origin,Geoform,Geoform Type,Unit Type,Definition,Literature Cited,CMECS Version,Component Code,Unit Code,IRI (NCEI base URL + Term ID),Unit ID,Unit Status,Type of Change,Implementation Guidance,Notes
Geoform Component,,,,,CMECS Component: Geoform ,"In CMECS, the geological context—and associated features of the landscape and seascape—are captured in the Geoform Component (GC), which describes the physical structure of the environment across multiple scales. The GC addresses five aspects of the coastal and seafloor morphology: tectonic setting, physiographic setting, geoform origin, geoform, and geoform type. The framework for the GC adopts most of the structures described by Greene et al. (2007) and the estuary types outlined in Madden et al. (2008), but expands the options to include a larger number of coastal and nearshore features.
The GC is not intended to be a geological classification per se. Rather, it provides a way to present the structural aspects of the physical environment that are relevant to—and drivers of—biological community distribution. This component does not include surface geology attributes [such as hardbottom, softbottom, sand, gravel, and cobble as in Greene et al. (2007)], because these attributes are included in the Substrate Component that describes the character and composition of the seafloor. Used together, geoform and substrate component units reflect the physical environment in which benthic/attached biota occurs.
The GC is organized into four subcomponents that occur along a spatial continuum (Table 6.1): tectonic setting and physiographic setting describe large, global features, while the level 1 and level 2 geoform subcomponents describe meso-and microscale units (extending down to features at the meter scale). Each subcomponent has a general scale range associated with it, but features within these categories will naturally overlap one another—because of the natural gradients and transitions between geologic units and processes. Similarly, regional differences in processes will cause units to respond differently on spatial and temporal scales (Harris et al. 2005).","Greene, H. G., J. J. Bizzarro, V. M. O’Connell, and C. K. Brylinsky. 2007. “Construction of Digital Potential Marine Benthic Habitat Maps Using a Coded Classification Scheme and Its Applications.” In Mapping the Seafloor for Habitat Characterization, 141–155. Special Paper 47. Edited by B. J. Todd and H. G. Greene. Geological Association of Canada.|Madden, C. J., R. Smith, E. Dettmann, and N. Detenbeck. 2008. “A Typology of Estuaries Supporting the Development of a National Nutrient Criteria Framework for Estuarine Systems.” Chap. 3 in Development of Nutrient Criteria for the Nation’s Estuaries: Technical Document. Edited by P. Glibert et al. Report of the National Nutrient Criteria Development Workgroup. U.S. Environmental Protection Agency.|Harris, M. S., P. T. Gayes, J. L. Kindinger, J. G. Flocks, D. E. Krantzft, and P. Donovan. 2005. “Quaternary Geomorphology and Modern Coastal Development in Response to an Inherent Geologic Framework: An Example from Charleston, South Carolina.” Journal of Coastal Research 21: 49–64.",1.1.2,G,None,https://w3id.org/CMECS/CMECS_00000387,CMECS_00000387,Original Unit,,,
Geoform Component,Tectonic Setting ,,,,CMECS Geoform Subcomponent,"At the largest scales, the GC is divided into eight planetary features that reflect global tectonic processes (both past and present). Generally, these features are thousands of square kilometers or larger in size. They include both continental and oceanic crustal units, and the tectonic setting features form the context for all of the smaller-scale geoforms.",,1.1.2,G,t,https://w3id.org/CMECS/CMECS_00000817,CMECS_00000817,Original Unit,,,
Geoform Component,Tectonic Setting,Abyssal Plain,,,CMECS Geoform Subcomponent: Setting ,"A flat region of the deep ocean floor (with a slope less than 1:1,000) that was formed by the deposition of pelagic and gravity-current sediments, which obscure the pre-existing topography. Vast areas of the ocean floor fall within this setting, which can be subdivided into smaller basins based on regional topography.",,1.1.2,G,t1,https://w3id.org/CMECS/CMECS_00000001,CMECS_00000001,Original Unit,,,
Geoform Component,Tectonic Setting,Convergent Active Continental Margin,,,CMECS Geoform Subcomponent: Setting ,"Intense areas of active magmatism, where the oceanic lithosphere is subducted beneath the continental lithosphere. This results in chains of volcanoes near the continental margin; the leading edge of the continental plate is usually studded with steep mountain ranges.",,1.1.2,G,t2,https://w3id.org/CMECS/CMECS_00000189,CMECS_00000189,Original Unit,,,
Geoform Component,Tectonic Setting,Divergent Active Continental Margin,,,CMECS Geoform Subcomponent: Setting ,Areas where tensional tectonic forces result in the crustal rocks being stretched and- ultimately- split apart or rifted. These areas are marked by subsidence and a continental rise.,,1.1.2,G,t3,https://w3id.org/CMECS/CMECS_00000250,CMECS_00000250,Original Unit,,,
Geoform Component,Tectonic Setting,Fracture Zone,,,CMECS Geoform Subcomponent: Setting ,An elongate zone of unusually irregular topography (on the deep seafloor) that often separates basins and regions of different depths; fracture zones commonly follow (and extend beyond) offsets of the mid-ocean ridge.,,1.1.2,G,t4,https://w3id.org/CMECS/CMECS_00000368,CMECS_00000368,Original Unit,,,
Geoform Component,Tectonic Setting,Spreading Center,,,CMECS Geoform Subcomponent: Setting ,"Spreading centers are areas where tectonic plates are moving apart, allowing new oceanic crust to reach the surface of the sea floor.",,1.1.2,G,t5,https://w3id.org/CMECS/CMECS_00000785,CMECS_00000785,Original Unit,,,
Geoform Component,Tectonic Setting,Mid-Ocean Ridge,,,CMECS Geoform Subcomponent: Setting ,"An extremely large, global spreading center. The mid-ocean ridge is a continuous, seismically active, median mountain range extending through the North Atlantic, South Atlantic, Indian, and South Pacific Oceans. It is a broad, fractured swell with a central rift valley and usually extremely rugged topography. The ridge is 1-3 kilometers in height, about 1,500 kilometers in width, and over 84,000 kilometers in length. Sections of this feature are sometimes named based on the ocean region in which this feature occur (for example, Mid-Atlantic Ridge).",,1.1.2,G,t6,https://w3id.org/CMECS/CMECS_00000548,CMECS_00000548,Original Unit,,,
Geoform Component,Tectonic Setting,Passive Continental Margin,,,CMECS Geoform Subcomponent: Setting ,"The transition between oceanic and continental crust that is not an active plate margin. This feature was constructed by sedimentation above an ancient rift, now marked by transitional crust. Major tectonic movement is broad, whereas regional vertical adjustment, earthquakes, and volcanic activity are minor and local.",,1.1.2,G,t7,https://w3id.org/CMECS/CMECS_00000628,CMECS_00000628,Original Unit,,,
Geoform Component,Tectonic Setting,Transform Continental Margin,,,CMECS Geoform Subcomponent: Setting ,A feature defined by the transform fault that develops during continental rifting. These margins differ from rifted or passive margins in two key ways; they have a narrow continental shelf (less than 30 kilometers) and a steep ocean-continent transition zone (Keary et al. 2009).,"Keary, P., K. A. Klepeis, and F. J. Vine. 2009. Global Tectonics. 3rd ed. Hoboken, NJ: Wiley-Blackwell.",1.1.2,G,t8,https://w3id.org/CMECS/CMECS_00000845,CMECS_00000845,Original Unit,,,
